Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.eam,256,2,Comm,0.36822,1.5997,2.8311,97.4,16.00
in.eam,256,2,Output,0.00064495,0.0086643,0.016684,8.6,0.09
in.eam,256,2,Modify,0.10926,0.13951,0.16976,8.1,1.40
in.eam,256,2,Other,,0.1057,,,1.06
in.eam,256,4,Pair,3.2766,3.5293,4.2359,21.7,68.59
in.eam,256,4,Neigh,0.23391,0.28695,0.44017,16.5,5.58
in.eam,256,4,Comm,0.30351,1.2234,1.5518,48.0,23.78
in.eam,256,4,Output,0.00035789,0.00038795,0.00040682,0.0,0.01
in.eam,256,4,Modify,0.054806,0.073765,0.1224,10.4,1.43
in.eam,256,4,Other,,0.03148,,,0.61
in.eam,256,8,Pair,1.8952,1.9617,2.2826,8.7,67.94
in.eam,256,8,Neigh,0.12599,0.13813,0.19157,5.5,4.78
in.eam,256,8,Comm,0.33697,0.70212,0.77387,16.6,24.32
in.eam,256,8,Output,0.00022349,0.00023528,0.00026203,0.0,0.01
in.eam,256,8,Modify,0.029388,0.032505,0.045697,2.8,1.13
in.eam,256,8,Other,,0.05277,,,1.83
in.eam,256,16,Pair,0.93451,1.0034,1.1522,4.2,63.70
in.eam,256,16,Neigh,0.070738,0.072603,0.088422,1.5,4.61
in.eam,256,16,Comm,0.31078,0.44364,0.54531,9.5,28.16
in.eam,256,16,Output,0.00015357,0.0039234,0.015117,10.3,0.25
in.eam,256,16,Modify,0.01469,0.015923,0.0169,0.5,1.01
in.eam,256,16,Other,,0.03565,,,2.26
in.eam,256,32,Pair,0.49024,0.52525,0.61057,2.8,62.87
in.eam,256,32,Neigh,0.029416,0.037023,0.045563,1.3,4.43
in.eam,256,32,Comm,0.13381,0.2222,0.28737,7.0,26.60
in.eam,256,32,Output,0.00012571,0.00016352,0.00021698,0.0,0.02
in.eam,256,32,Modify,0.0070577,0.0088514,0.024191,3.0,1.06
in.eam,256,32,Other,,0.04194,,,5.02
in.eam,256,64,Pair,0.27097,0.29618,0.31566,2.1,69.50
in.eam,256,64,Neigh,0.014964,0.018581,0.0482,3.0,4.36
in.eam,256,64,Comm,0.064315,0.09306,0.13297,6.5,21.84
in.eam,256,64,Output,0.00010108,0.00013168,0.00022441,0.0,0.03
in.eam,256,64,Modify,0.0030253,0.0036629,0.0042438,0.5,0.86
in.eam,256,64,Other,,0.01454,,,3.41
in.eam,864,2,Pair,21.933,25.781,29.629,75.8,73.82
in.eam,864,2,Neigh,1.4248,2.147,2.8692,49.3,6.15
